Matches,SubMatches,GradientMatches,Keypoint,SubKeypoint,GradientKeypoint,Class
794,58,0.073,1192,5,0.0042,0
822,26,0.0316,1207,0,0.0,0
25,810,32.4,58,1188,20.4828,1
121,22,0.1818,165,4,0.0242,0
107,5,0.0467,152,0,0.0,0
113,2,0.0177,141,5,0.0355,0
106,1,0.0094,137,4,0.0292,0
2,117,58.5,369,227,0.6152,1
40,6,0.15,52,4,0.0769,0
48,5,0.1042,55,2,0.0364,0
51,2,0.0392,58,0,0.0,0
47,0,0.0,55,2,0.0364,0
48,1,0.0208,54,8,0.1481,0
43,0,0.0,52,0,0.0,0
42,1,0.0238,55,4,0.0727,0
47,9,0.1915,59,1,0.0169,0
41,7,0.1707,65,4,0.0615,0
43,2,0.0465,61,7,0.1148,0
42,3,0.0714,52,2,0.0385,0
2,46,23.0,291,235,0.8076,1
655,40,0.0611,970,2,0.0021,0
585,0,0.0,885,41,0.0463,0
538,12,0.0223,712,28,0.0393,0
524,22,0.042,707,35,0.0495,0
19,416,21.8947,608,38,0.0625,1
9,999,111.0,780,531,0.6808,1
18,8,0.4444,37,8,0.2162,0
26,1,0.0385,50,5,0.1,0
55,3,0.0545,75,5,0.0667,0
9,1513,168.1111,2221,496,0.2233,1
207,4,0.0193,282,0,0.0,0
221,12,0.0543,295,6,0.0203,0
8,194,24.25,1326,1053,0.7941,1
110,4,0.0364,142,14,0.0986,0
102,5,0.049,122,4,0.0328,0
99,6,0.0606,118,0,0.0,0
9,90,10.0,2511,2394,0.9534,1
410,33,0.0805,533,19,0.0356,0
478,23,0.0481,537,8,0.0149,0
8,456,57.0,2735,2207,0.8069,1
792,7,0.0088,1186,10,0.0084,0
730,15,0.0205,1218,74,0.0608,0
723,23,0.0318,1124,22,0.0196,0
771,8,0.0104,1142,10,0.0088,0
749,12,0.016,1174,21,0.0179,0
787,38,0.0483,1195,21,0.0176,0
796,3,0.0038,1162,22,0.0189,0
806,10,0.0124,1168,6,0.0051,0
11,840,76.3636,783,428,0.5466,1
545,4,0.0073,648,11,0.017,0
559,8,0.0143,651,8,0.0123,0
600,3,0.005,660,3,0.0045,0
594,2,0.0034,659,5,0.0076,0
